year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,4,73.3,64.2,3.9,0,0,0,0,0,0,0,0
2010,1,4,71,57.3,2.3,0.8,0,0,0,0,0,0,0
2010,1,4,79.3,66.1,4.3,0.9,0,0,0,0,0,0,0
2010,1,4,73.7,55.4,3.9,0.2,0,0,0,0,0,0,0
2010,1,4,57.4,48.4,0.9,1.6,0,1,0,0,0,0,0
2010,1,4,66.7,51.9,2.4,7,0,0,0,0,0,0,0
2010,1,4,74.6,47.1,4,0,0,0,0,0,0,0,0
2010,1,4,48.8,44.2,0.5,1.4,0.12,1,0,0,0,0,0
2010,1,4,57.6,48.4,1.2,2.7,0,0,0,0,0,0,0
2010,1,4,53.2,48.6,0.6,0.6,0,1,0,0,0,0,0
2010,1,4,59.2,50,0.9,2.3,0,1,0,0,0,0,0
2010,1,4,72.6,56.2,3.4,0.6,0,0,0,0,0,0,0
2010,1,4,78.4,69.7,1.6,2.4,0,0,0,0,0,0,0
2010,1,4,60.3,50.9,1.6,1.5,0,0,0,0,0,0,0
2010,1,4,61.8,55,2,0,0,0,0,0,0,0,0
2010,1,4,76.3,67.6,3.7,1.2,0,0,0,0,0,0,0
2010,1,4,62,53.8,2.3,5.5,0,0,0,0,0,0,0
2010,1,4,75.5,57.6,3.9,0.5,0,0,0,0,0,0,0
2010,1,4,56.3,46.9,0.8,0.4,0,1,0,0,0,0,0
2010,1,4,65.7,46.8,2.3,0.7,0,0,0,0,0,0,0
2010,1,4,76.4,59.3,1.9,1.5,0,0,0,0,0,0,0
2010,1,4,75.2,67.1,2.5,1.3,0,0,0,0,0,0,0
2010,1,4,70.2,55.1,3.9,1,0,0,0,0,0,0,0
2010,1,4,59,50.3,2.3,1.2,0,0,0,0,0,0,0
2010,1,4,57.6,51.3,0.8,3.5,0,1,0,0,0,0,0
2010,1,4,58,51.3,1,4.4,0,1,0,0,0,0,0
2010,1,4,74.2,47,3,2.5,0,0,0,0,0,0,0
2010,1,4,56.9,48.9,1.8,5.1,0,1,0,0,0,0,0
2010,1,4,71.1,55.5,2.6,2.9,0,0,0,0,0,0,0
2010,1,4,51.1,48.5,0.9,9.5,0,1,0,0,0,0,0
2010,1,4,66.4,49,4,3.4,0,1,0,0,0,0,0
2010,1,4,74,67,2.2,0.7,0,0,0,0,0,0,0
2010,1,4,60.5,55.8,2.2,0.3,0,1,0,0,0,0,0
2010,1,4,66.7,47.1,2.5,1.9,0,0,0,0,0,0,0
2010,1,4,57.5,55.4,0.5,0.2,0,1,0,0,0,0,0
2010,1,4,66.3,52.5,2.3,5.5,0,0,0,0,0,0,0
2010,1,4,81.6,72.9,4.3,1.2,0,0,0,0,0,0,0
2010,1,4,60.5,50.4,1.1,0.7,0,0,0,0,0,0,0
2010,1,4,66.4,48.5,2.5,0.7,0,0,0,0,0,0,0
2010,1,4,77.7,55,4.3,0.6,0,0,0,0,0,0,0
2010,1,4,83.6,76.8,4.3,3.5,0,0,0,0,0,0,0
2010,1,4,60.4,55.4,0.9,1.1,0,0,0,0,0,0,0
2010,1,4,58.6,52.5,1.2,1.9,0,1,0,0,0,0,0
2010,1,4,72.4,58.1,2.2,2,0,0,0,0,0,0,0
2010,1,4,72.8,53.8,4.3,0.6,0,0,0,0,0,0,0
2010,1,4,81,65.5,2.5,2.1,0,0,0,0,0,0,0
2010,1,4,69.8,49.9,3.9,0.2,0,0,0,0,0,0,0
2010,1,4,73,62.2,2.3,0.5,0,0,0,0,0,0,0
2010,1,4,70.2,60.9,2.1,2.1,0,0,0,0,0,0,0
2010,1,4,78,71.3,2.5,3.5,0,0,0,0,0,0,0
2010,1,4,72.6,62.8,3.4,0.2,0,0,0,0,0,0,0
2010,1,4,76.3,67.5,4.3,1.2,0,0,0,0,0,0,0
2010,1,4,55.2,49.8,1,6.7,0,1,0,0,0,0,0
2010,1,4,74,67.4,2.4,2.8,0,0,0,0,0,0,0
2010,1,4,76.8,64.6,1.9,5.3,0,0,0,0,0,0,0
2010,1,4,71.9,47.4,3,5.3,0,0,0,0,0,0,0
2010,1,4,54.7,52.3,1.1,8.5,0,1,0,0,0,0,0
